2RD Navier Stokes Equation Using Finite Volume Method
GRID Size:	 65 	 X 65 
Reynolds number of the simulation:100.000000
Iteration no:	192	 Ures: 	1.9897903933e-02	 Vres: 	9.9455489417e-01	 Pres: 	2.4212121620e-01	 
Iteration no:	193	 Ures: 	1.9704481160e-02	 Vres: 	9.8824990279e-01	 Pres: 	2.4971771105e-01	 
Iteration no:	194	 Ures: 	1.9522740408e-02	 Vres: 	9.8302932967e-01	 Pres: 	2.5448291471e-01	 
Iteration no:	195	 Ures: 	1.9354447480e-02	 Vres: 	9.7890895983e-01	 Pres: 	2.5642721360e-01	 
Iteration no:	196	 Ures: 	1.9200784127e-02	 Vres: 	9.7586472717e-01	 Pres: 	2.5559663341e-01	 
Iteration no:	197	 Ures: 	1.9062318097e-02	 Vres: 	9.7383490195e-01	 Pres: 	2.5206967136e-01	 
Iteration no:	198	 Ures: 	1.8939004047e-02	 Vres: 	9.7272405256e-01	 Pres: 	2.4595457487e-01	 
Iteration no:	199	 Ures: 	1.8830214854e-02	 Vres: 	9.7240845502e-01	 Pres: 	2.3738686887e-01	 
Iteration no:	200	 Ures: 	1.8734800642e-02	 Vres: 	9.7274253190e-01	 Pres: 	2.2652706162e-01	 
Iteration no:	201	 Ures: 	1.8651170954e-02	 Vres: 	9.7356586226e-01	 Pres: 	2.1355855506e-01	 
Iteration no:	202	 Ures: 	1.8577394009e-02	 Vres: 	9.7471031671e-01	 Pres: 	1.9868588882e-01	 
Iteration no:	203	 Ures: 	1.8511306284e-02	 Vres: 	9.7600692484e-01	 Pres: 	1.8213360608e-01	 
Iteration no:	204	 Ures: 	1.8450625522e-02	 Vres: 	9.7729216269e-01	 Pres: 	1.6414633564e-01	 
Iteration no:	205	 Ures: 	1.8393060846e-02	 Vres: 	9.7841343790e-01	 Pres: 	1.4499136361e-01	 
Iteration no:	206	 Ures: 	1.8336414593e-02	 Vres: 	9.7923363804e-01	 Pres: 	1.2496663085e-01	 
Iteration no:	207	 Ures: 	1.8278671730e-02	 Vres: 	9.7963468256e-01	 Pres: 	1.0442161071e-01	 
Iteration no:	208	 Ures: 	1.8218073986e-02	 Vres: 	9.7952007779e-01	 Pres: 	8.3812295331e-02	 
Iteration no:	209	 Ures: 	1.8153177031e-02	 Vres: 	9.7881651585e-01	 Pres: 	6.3859027930e-02	 
Iteration no:	210	 Ures: 	1.8082890072e-02	 Vres: 	9.7747458400e-01	 Pres: 	4.6051904318e-02	 
Iteration no:	211	 Ures: 	1.8006498033e-02	 Vres: 	9.7546866548e-01	 Pres: 	3.4151228344e-02	 
Iteration no:	212	 Ures: 	1.7923667113e-02	 Vres: 	9.7279611777e-01	 Pres: 	3.4446086130e-02	 
Iteration no:	213	 Ures: 	1.7834434907e-02	 Vres: 	9.6947581491e-01	 Pres: 	4.5992182514e-02	 
Iteration no:	214	 Ures: 	1.7739186591e-02	 Vres: 	9.6554613896e-01	 Pres: 	6.2071735490e-02	 
Iteration no:	215	 Ures: 	1.7638618876e-02	 Vres: 	9.6106250380e-01	 Pres: 	7.9196396379e-02	 
Iteration no:	216	 Ures: 	1.7533693559e-02	 Vres: 	9.5609449441e-01	 Pres: 	9.6043849057e-02	 
Iteration no:	217	 Ures: 	1.7425582708e-02	 Vres: 	9.5072270702e-01	 Pres: 	1.1201643055e-01	 
Iteration no:	218	 Ures: 	1.7315607598e-02	 Vres: 	9.4503538000e-01	 Pres: 	1.2677928993e-01	 
Iteration no:	219	 Ures: 	1.7205173749e-02	 Vres: 	9.3912491192e-01	 Pres: 	1.4011458826e-01	 
Iteration no:	220	 Ures: 	1.7095704500e-02	 Vres: 	9.3308437053e-01	 Pres: 	1.5186890613e-01	 
